Bwd Seg Size Avg,Fwd Seg Size Min,Dst Port,ECE Flag Cnt,Subflow Fwd Byts,Fwd Seg Size Avg,Bwd Pkt Len Max,RST Flag Cnt,Fwd Pkt Len Mean,Init Fwd Win Byts,TotLen Fwd Pkts,Fwd Pkt Len Max,Bwd Pkt Len Mean,Pkt Size Avg,Flow Byts/s,Bwd IAT Std,Fwd Header Len,Init Bwd Win Byts,Fwd Pkt Len Std,Pkt Len Var,Pkt Len Max,Bwd IAT Max,Bwd Pkts/s,Bwd Pkt Len Std,Pkt Len Mean,TotLen Bwd Pkts,Fwd IAT Max,Bwd IAT Tot,Flow Duration,Fwd IAT Tot
269.33333333333303,20,443,0,1000,62.5,1430,0,62.5,8192,1000,359,269.33333333333303,162.58064516129,42,21253242.2241492,332,180,100.722721700055,123530.129032258,1430,59016322.0,0.127568196554628,487.00625790445,157.5,4040.0,58875345.0,117443949.0,117584166,117584166.0
32.25,20,8080,1,326,108.6666667,112,1,108.6666667,8192,326,326,32.25,65.0,45264,5256.879715,72,219,188.2161878,13318.69643,326,9286.0,397.93076,53.7672453,56.875,129.0,418.0,9655.0,10052,469.0
57.75,20,80,0,97,24.25,231,0,24.25,8192,97,97,57.75,41.0,49,3789419.43954642,92,141,48.5,6352.0277777778,231,6563732.0,0.6093456253,115.5,36.4444444444,231.0,61820.0,6564262.0,6564419,62123.0
0.0,20,445,0,0,0.0,0,0,0.0,8192,0,0,0.0,0.0,0,0.0,72,8192,0.0,0.0,0,0.0,3.8091465226,0.0,0.0,0.0,262451.0,0.0,262526,262526.0
32.25,20,8080,1,326,108.6666667,112,1,108.6666667,8192,326,326,32.25,65.0,38700,5676.823877000001,72,219,188.2161878,13318.69643,326,10181.0,340.222846,53.7672453,56.875,129.0,864.0,10913.0,11757,924.0
0.0,20,443,0,77,25.66666667,0,0,25.66666667,258,77,46,0.0,41.0,204244,0.0,60,-1,23.45918441,470.25,46,0.0,0.0,0.0,30.75,0.0,363.0,0.0,377,377.0
32.25,20,8080,1,326,108.6666667,112,1,108.6666667,8192,326,326,32.25,65.0,41510,5800.924151,72,219,188.2161878,13318.69643,326,10213.0,364.9302071,53.7672453,56.875,129.0,431.0,10551.0,10961,495.0
0.0,20,30017,0,0,0.0,0,0,0.0,64000,0,0,0.0,0.0,0,0.0,40,-1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,86364629.0,0.0,86364629,86364629.0
137.0,32,34806,0,935,187.0,411,0,187.0,237,935,935,137.0,168.25,316,18186.07931,168,211,418.1447118,105230.5278,935,36603.0,0.70458244,237.2909606,149.5555556,411.0,4184907.0,47487.0,4257841,4257841.0
146.0,8,53,0,40,40.0,146,0,40.0,-1,40,40,146.0,113.0,4817,0.0,8,-1,0.0,3745.3333333333,146,0.0,25.9006967287,0.0,75.3333333333,146.0,0.0,0.0,38609,0.0
